local_name,local_capacity_mw,local_license_type,local_river,reason,candidate_count,candidate_names
Tamakoshi- 9 HEP,24.46,Survey,Tamakoshi,no_exact_normalized_name,0,
Taman Khola,4.85,Generation,Taman,no_exact_normalized_name,0,
Tanchhahara SHP,2.4,Generation,Tangchhahara,no_exact_normalized_name,0,
Tawa Khola HPP,9.96,Survey,"Tawa Khola, Yamkha Khola, Siwa",no_exact_normalized_name,0,
thosne Khola Tokal Hydroelectric Project,0.922,Survey,Thosne,no_exact_normalized_name,0,
Thuli Bheri,121.0,Survey,Thuli Bheri,no_exact_normalized_name,0,
Thuligad Khola Small HEP,9.0,Survey,Thuli Gad,no_exact_normalized_name,0,
Tom Dogar HEP ( Budhi gandaki),43.52,Survey,Budhi Gandaki,no_exact_normalized_name,0,
Trishuli Galchhi,75.0,Generation,Trishuli,no_exact_normalized_name,0,
Upper Balefhi,46.0,Survey,Balephi,no_exact_normalized_name,0,
Upper Budhigandaki HEP,203.0,Survey,Budhi Gandaki,no_exact_normalized_name,0,
Upper Budhiganga B HPP,8.4,Survey,Budhi ganga,no_exact_normalized_name,0,
Upper Chirkuwa Khola,4.7,Generation,Chirkhuwa,no_exact_normalized_name,0,
Upper Gidi Khola HEP,3.3,Survey,Gidi,no_exact_normalized_name,0,
Upper Idi Khola SHP,0.85,Survey,Idi Khola,no_exact_normalized_name,0,
Upper Isuwa,24.3,Survey,Isuwa Khola,no_exact_normalized_name,0,
Upper Junbesi HPP,3.7,Survey,Junbeshi,no_exact_normalized_name,0,
Upper Kabeli HPP,22.9,Survey,Kabeli Khola,no_exact_normalized_name,0,
Upper Kabeli-2HPP,9.6,Survey,Kabeli Khola,no_exact_normalized_name,0,
upper Madame HPP,12.3,Survey,Madame Khola,no_exact_normalized_name,0,
Upper Mudi HEP,12.73,Survey,Mudi,no_exact_normalized_name,0,
Upper Nar Hydropower Project,31.77,Survey,Nar,no_exact_normalized_name,0,
Upper Pikhuwa HPP,2.0,Survey,Pikhuwa,no_exact_normalized_name,0,
Upper Rukum Gad HPP,4.73,Survey,"Rukum Gad(Lukum,Thaban,Kuchiba",no_exact_normalized_name,0,
Upper Siddhi khola HEP,3.86,Survey,Siddhi Khola,no_exact_normalized_name,0,
Upper Simbuwa Khola HPP,46.81,Survey,Simbuwa Khola,no_exact_normalized_name,0,
Upper Siwa Khola HPP,8.18,Survey,Siwa Khola,no_exact_normalized_name,0,
